publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Pan African medical journal (The )		1937-8688	2008						https://www.ajol.info/index.php/pamj		19378688		fulltext		Pan African Medical Journal	serial								F	140141790
Politics of religion (The )		2260-2712	2009						http://politicsofreligion.hypotheses.org/		22602712		fulltext		[The Politics of religion]	serial								F	163394911
Pitruluzhī (Online)	2228-5210	2322-2182	2012						https://ijp.ui.ac.ir		23222182		fulltext		Dānishgāh-i Iṣfahān	serial								F	165473665
Passage (Hasselt University)		2795-6644	2021						https://www.projectpassage.net/issues		27956644		fulltext		Hasselt University- Faculty of Architecture and Arts	serial								F	270870261
Paternités		2111-4617	2009			2012			https://paternites.hypotheses.org/		21114617		fulltext		[Paternités]	serial								F	148794580
Pancanaka (Online)		2716-2036	2020						http://pancanaka.latbangdjogja.web.id/		27162036		fulltext		Perwakilan BKKBN DI Yogyakarta	serial								F	243001495
Ph.D. proceedings (Pázmány Péter Katolikus Egyetem - Kiemelt Felsőoktatási Intézmény, Információs Technológiai és Bionikai Kar)	2064-7271	2064-3268	2006						https://itk.ppke.hu/phd-proceedings/		20643268		fulltext		PPKE ITK	serial								F	174287453
Proceedings of the ... SIAM Workshop on Combinatorial Scientific Computing		2474-8897	2017						https://epubs.siam.org/action/showPublications?catType=proceedings		24748897		fulltext		Society for Industrial and Applied Mathematics	serial								F	232583870
Paulus Civil Engineering Journal (online)	2775-8613	2775-4529	2019						http://ojs.ukipaulus.ac.id/index.php/pcej		27754529		fulltext		Program Studi Teknik Sipil Fakultas Teknik Universitas Kristen Indonesia Paulus	serial								F	25428292X
Politique et conflits		2265-8963	2012						https://politiqueconflits.hypotheses.org/		22658963		fulltext		[Politique et Conflits]	serial								F	169430553
Pasundan Social Science Development (Online)	2798-4168	2798-415X	2020						https://journal.pascasarjana-unpas.web.id/index.php/pascidev		2798415X		fulltext		Universitas Pasundan	serial								F	257234969
Pilar (Jurusan Teknik Sipil, Politeknik Negeri Sriwijaya, Online)	1907-6975	2722-2926	2006						https://jurnal.polsri.ac.id/index.php/pilar		27222926		fulltext		Politeknik Negeri Sriwijaya	serial								F	245306366
Pizhūhish'hā-yi mu̒āṣir dar ̒ulūm va taḥqīqāt		2676-5764	2019						http://jocrisar.ir		26765764		fulltext		Ḥusiyn ̒Azīzī'nizhād	serial								F	238223825
Productions cultu(r)elles de l'Atlantique Sud		2609-0988	2017						https://atsud.hypotheses.org/		26090988		fulltext		Productions cultu(r)elles de l'Atlantique Sud	serial								F	229293999
Ortodoxia (Bucureşti. Online)	1015-1044	3100-4687	2018						https://revistaortodoxia.ro/ro/		31004687		fulltext		Editura Institutului Biblic şi de Misiune Ortodoxă	serial								F	285777106
Porte akademik müzik ve dans araştırmaları dergisi (Online)	2146-2453	2619-9688	2010			2025			https://dergipark.org.tr/tr/pub/porteakademik		26199688		fulltext		İstanbul Teknik Üniversitesi	serial								F	229731228
Pondicherry Journal of Nursing (Online)	2279-0144	2583-4959	2014						https://pjn.sbvjournals.com/journalDetails/PJN		25834959		fulltext		Jaypee Brothers Medical Publishers Pvt Ltd	serial								F	266251331
Photonics insights		2791-1748	2022						https://www.spiedigitallibrary.org/journals/photonics-insights		27911748		fulltext		SPIE	serial								F	264575687
Revista Med (En línea)	0121-5256	1909-7700	2010						https://revistas.umng.edu.co/index.php/rmed/issue/archive		19097700		fulltext		Universidad Militar Nueva Granada	serial								F	127806261
Revista Hilos: pedagogía, innovación y cultura digital		3028-7774	2024						https://revistas.unicartagena.edu.co/index.php/hilos		30287774		fulltext		Universidad de Cartagena	serial								F	284987670
Revista Colombiana de Psicología (Bogotá. En línea)	0121-5469	2344-8644	2012						http://www.revistas.unal.edu.co/index.php/psicologia/index		23448644		fulltext		Universidad Nacional de Colombia	serial								F	193240386
Revista Ibero-americana de Ciência da Informação		1983-5213	2008						https://periodicos.unb.br/index.php/RICI/index		19835213		fulltext		Universidade de Brasília, Faculdade de Ciência da Informação e Documentação, Programa de Pós-Graduação em Ciência da Informação	serial								F	128406968
Recent Advances in Natural Sciences (Online)		1596-0757	2023						http://www.flayoophl.com/journals/index.php/rans/		15960757		fulltext		Flayoo Publishing House Limited	serial								F	27237492X
Revista Facultad de Jurisprudencia		2588-0837	2017						https://www.revistarfjpuce.edu.ec/index.php/rfj		25880837		fulltext		Pontificia Universidad Católica del Ecuador	serial								F	204161509
Revista Pagmar (Online)	2318-1702	2446-4791	2013								24464791		fulltext		Pagadoria de Pessoal da Marinha	serial								F	185381715
Proceeding International Relations on Indonesian Foreign Policy Conference (Online)		2807-1255	2021						http://proirofonic.upnjatim.ac.id/index.php/proirofonic/issue/view/1		28071255		fulltext		Universitas Pembangunan Nasional “Veteran” Jawa Timur	serial								F	257240187
Revista Remecs		2526-2874	2016						http://revistaremecs.com.br/index.php/remecs/index		25262874		fulltext		ENFservic - Assessoria Informativa e Científica de Enfermagem	serial								F	198535422
Proceedings, annual meeting (Western Agricultural Economics Association. Online)	0090-1296	2573-6647	1968			1975			http://www.jstor.org/journal/procannumeet		25736647		fulltext		[Western Agricultural Economics Association]	serial								F	203191730
Revista tendencias en docencia e investigación en química (online)		3061-8444	2015						https://revistatediq.azc.uam.mx/index.php		30618444		fulltext		Universidad Autónoma Metropolitana	serial								F	286181355
Revista internacional de estudios migratorios		2173-1950	2010						http://ojs.ual.es/ojs/index.php/RIEM		21731950		fulltext		Centro de Estudios de las Migraciones y las Relaciones Interculturales	serial								F	150074271
Revista Mexicana de Investigación e Intervención Educativa		2992-7927	2022						https://pablolatapisarre.edu.mx/revista/index.php/rmiie		29927927		fulltext		Grupo Educativo GVG A.C.	serial								F	275398277
Revista de investigación e innovación agropecuaria y de recursos naturales (En línea)	2409-1618	2518-6868	2014						http://agro.umsa.bo/iiaren/?q		25186868		fulltext		Facultad de Agronomía, Universidad Mayor de San Andrés	serial								F	195686950
Revista de derecho tributario (Ciudad Autónoma de Buenos Aires)		2422-5819	2012						https://latam.ijeditores.com/index.php?option=publicacion&idpublicacion=47		24225819		fulltext		IJ International Legal Group	serial								F	187723168
Revista Brasileira de Farmacognosia (Online)	0102-695X	1981-528X	1986						http://www.sciencedirect.com/science/journal/0102695X		1981528X		fulltext		Elsevier	serial								F	115435417
Revista de Economía y Política (En línea)	1390-7921	2477-9075	2016						https://publicaciones.ucuenca.edu.ec/ojs/index.php/REP		24779075		fulltext		Universidad de Cuenca, Facultad de Ciencias Económicas y Administrativas	serial								F	202726355
Revista de Estudos Híbridos na Área da Linguagem		2763-5791	2020						https://periodicos.unipampa.edu.br/index.php/REHAL/index		27635791		fulltext		Universidade Federal do Pampa	serial								F	254902529
Revista internacional socio-innova-tec del Altiplano (REISITAL)		2954-4211	2021						https://www.reisital.org.mx/		29544211		fulltext		Instituto Tecnológico Superior Del Oriente Del Estado de Hidalgo	serial								F	265196140
Revista Caderno de Docências		3086-5921	2026						https://periodicos.ufpb.br/index.php/cad/index		30865921		fulltext		Editora UFPB	serial								F	297919032
Revista de estudios de la administración local y autonómica (2004. Internet)	1699-7476	1989-8975	2004						http://revistas.inap.es/reala		19898975		fulltext		Instituto Nacional de Administración Pública	serial								F	143182285
Revista Latino-Americana de Geografia e Gênero		2177-2886	2010						http://www.revistas2.uepg.br/index.php/rlagg		21772886		fulltext		Universidade Estadual de Ponta Grossa, Grupo de Estudos Territoriais	serial								F	143851640
Revista Real Conhecer (Online)	2965-3096	2763-5473	2021						https://www.realconhecer.com.br/p/revista.html		27635473		fulltext		Grupo MultiAtual Educacional	serial								F	254552048
Revista Paranaense de Filosofia		2763-9657	2021						https://periodicos.unespar.edu.br/index.php/rpfilo		27639657		fulltext		Universidade Estadual do Paraná, Campus União da Vitória	serial								F	257223991
Revista de História Comparada		1981-383X	2007						https://revistas.ufrj.br/index.php/RevistaHistoriaComparada		1981383X		fulltext		Universidade Federal do Rio de Janeiro, Instituto de Filosofia e Ciências Sociais, Programa de Pós-Graduação em História Comparada	serial								F	114563055
Revista Visiones (Villa Mercedes, San Luis)		3008-8682	2023						https://visiones.fcejs.unsl.edu.ar/		30088682		fulltext		Escuela de Economía, Negocios y Transferencia Tecnológica, Facultad de Ciencias Económicas, Jurídicas y sociales, Universidad Nacional de San Luis	serial								F	279677103
Revista minerva (San Salvador)	3080-9649	2521-8794	2017						http://minerva.sic.ues.edu.sv/		25218794		fulltext		Universidad de El Salvador	serial								F	221014160
Studies in Indian Sociology		2584-2099	2024						https://www.pbjournals.com/siis		25842099		fulltext		Permanent Blue	serial								F	282437487
Suffa University journal of business management (Online)	3078-2554	3078-2562	2023						https://sujbm.dsu.edu.pk/sujbm		30782562		fulltext		DHA Suffa University	serial								F	281089973
Téoros (En ligne)	0712-8657	1923-2705	1995						http://www.erudit.org/revue/teoros/2011/v30/n2/index.html		19232705		fulltext		Université du Québec à Montréal	serial								F	14350486X
Statistics and public policy (Philadelphia, Pa.)		2330-443X	2013						http://www.tandfonline.com/toc/uspp20/current#.VG5wemdZhsw		2330443X		fulltext		Taylor & Francis Group	serial								F	184173035
Tropelías (Zaragoza. Internet)	1132-2373	2255-5463	1990						https://papiro.unizar.es/ojs/index.php/tropelias		22555463		fulltext		Área de Teoría de la Literatura y Literatura Comparada, Departamento de Lingüística General e Hispánica, Universidad de Zaragoza	serial								F	170083853
Studia Universitatis Babeş-Bolyai. Ambientum (Online)	1843-3855	2065-9490	2008						https://studia.reviste.ubbcluj.ro/index.php/subbambientum		20659490		fulltext		Presa Universitară Clujeană	serial								F	133950379
Theatrum historiae (On-line)	1802-2502	2571-0621	2006						https://theatrum.upce.cz/index.php/theatrum/		25710621		fulltext		Univerzita Pardubice, Fakulta filozofická	serial								F	229288790
Stormer		2677-5530	2018						https://raft.hypotheses.org/		26775530		fulltext		Stormer	serial								F	236094130
Signos históricos (Impresa) (Online)	1665-4420	3061-8193	1999						https://signoshistoricos.izt.uam.mx/index.php/historicos/issue/archive		30618193		fulltext		UAM, Unidad Iztapalapa, División de Ciencias Sociales y Humanidades	serial								F	
Supotsu seishin igaku (Online)	1349-4929	2436-1135	2021						https://www.jstage.jst.go.jp/browse/jasp/list/-char/ja		24361135		fulltext		Nihon supotsu seishin igakkai = Japanese Association of Sports Psychiatry	serial								F	262138026
Szkolnictwo Wyższe i Jego Finanse (Online)	2719-5562	2720-5738	2020						https://stat.gov.pl		27205738		fulltext		Urząd Statystyczny	serial								F	262012626
Türkbilig (Online)	1302-6011	3023-476X	2000						https://dergipark.org.tr/tr/pub/turkbilig		3023476X		fulltext		Hacettepe Üniversitesi	serial								F	277234751
Ṭibb-i tavānbakhshī (Online)	2251-8401	2252-0414	2012						http://www.medrehab.sbmu.ac.ir		22520414		fulltext		Dānishgāh-i ̒ulūm-i pizishkī va khadamāt-i bihdashtī-darmanī-i shahīd Bihishtī, dānishkadah-i tavānbakhshī	serial								F	163684456
Tetrahedron chem		2666-951X	2022						https://www.sciencedirect.com/journal/tetrahedron-chem		2666951X		fulltext		Elsevier Ltd.	serial								F	260619671
The Turkish online journal of design, art and communication		2146-5193	2012						https://dergipark.org.tr/en/pub/tojdac		21465193		fulltext		Istanbul Kültür University	serial								F	184171164
Textimage		1954-3840	2007						http://www.revue-textimage.com		19543840		fulltext		Textimage	serial								F	118354736
Revista Geografia, Literatura e Arte		2594-9632	2018						https://www.revistas.usp.br/geoliterart/index		25949632		fulltext		Universidade de São Paulo, Departamento de Geografia	serial								F	225262843
Spermova (En línea)	2223-9375	2308-4928							http://spermova.pe/site2/		23084928		fulltext		Asociacion Peruana de Reproduccion Animal	serial								F	17035394X
Ta'dib (Online)	1410-8208	2580-2771	1998						https://ejournal.uinmybatusangkar.ac.id/ojs/index.php/takdib		25802771		fulltext		IAIN Batusangkar	serial								F	202734099
Sistemnì tehnologìï (Online)	1562-9945	2707-7977	1997						https://journals.nmetau.edu.ua/index.php/st		27077977		fulltext		Ukraïnsʹkij deržavnij unìversitet nauki ì tehnologìj	serial								F	243091265
Studia Sieci Uniwersytetów Pogranicza (Online)	2544-5790	3072-1148	2019						https://sup.uwb.edu.pl/		30721148		fulltext		Wydawnictwo Uniwersytetu w Białymstoku	serial								F	291803342
Sport and Nutrition Journal (Online)	2685-6018	2685-2845	2019						https://journal.unnes.ac.id/sju/index.php/spnj/		26852845		fulltext		Universitas Negeri Semarang bekerjasama dengan Persatuan Ahli Gizi Indonesia (PERSAGI)	serial								F	241908892
Studia Judaica (Kraków. Online)	1506-9729	2450-0100	2013						http://www.ejournals.eu/SJ/		24500100		fulltext		Wydawnictwo Uniwersytetu Jagiellońskiego	serial								F	19402962X
Teknosastik (Bandar Lampung.Online)	1412-9655	2656-6842	2003						http://ejurnal.teknokrat.ac.id/index.php/teknosastik		26566842		fulltext		Universitas Teknokrat Indonesia	serial								F	236835688
Sulaimani journal for engineering sciences (Online)	2410-1699	2415-6655	2014						http://sjes.univsul.edu.iq		24156655		fulltext		University of Sulaimani	serial								F	193687925
Teikyo Daigaku Kyoiku Gakubu kiyo (Online)	2187-4891	2760-0963	2013						https://teikyo-u.repo.nii.ac.jp/search?search_type=2&q=1727920631441		27600963		fulltext		Teikyo daigaku kyoiku gakubu = Faculty of Education, Teikyo University	serial								F	289454336
Topiques, études satoriennes		2369-4831	2015						http://journals.uvic.ca/index.php/sator/index		23694831		fulltext		SATOR, Société d'Analyse de la TOpique Romanesque	serial								F	188562737
Sunan Kalijaga (Online)	2614-5472	2614-7262	2018						http://ejournal.uin-suka.ac.id/adab/skijic		26147262		fulltext		Fakultas Adab dan Ilmu Budaya Universitas Islam Negeri Sunan Kalijaga	serial								F	224664174
Tokat Gaziosmanpaşa üniversitesi hukuk fakültesi dergisi (Online)		2980-1516	2023						https://dergipark.org.tr/tr/pub/toguhfd		29801516		fulltext		Tokat Gaziosmanpaşa Üniversitesi	serial								F	272028991
Revista de investigación en gestión y finanzas		2955-8441	2022						http://revistas.unap.edu.pe/journal/index.php/RIGF		29558441		fulltext		Facultad de Ciencias Contables y Administrativas, Universidad Nacional del Altiplano	serial								F	269076476
Revista de investigación proyección científica		2957-8582	2022						https://revistacusam.com/index.php/revista/index		29578582		fulltext		Universidad de San Carlos de Guatemala	serial								F	264582144
Revista de Economía, Facultad de Economía, Universidad Autónoma de Yucatán (Mérida, Yucatán)		2395-8715	2010						http://www.revista.economia.uady.mx/		23958715		fulltext		Universidad Autónoma de Yucatán	serial								F	184867347
Records of Pharmaceutical & Biomedical Sciences	2536-9857	2535-2091	2018						http://rpbs.journals.ekb.eg		25352091		fulltext		Faculty of Pharmacy, Suez Canal University	serial								F	226760758
Regional and business studies (Online)	2061-2311	2732-2726	2009						http://journal.ke.hu/index.php/rbs/		27322726		fulltext		Szent István University Kaposvár Campus	serial								F	252600436
Revista de la Facultad de Farmacia (Caracas. En línea)	0041-8307	2739-0373	1959						http://saber.ucv.ve/ojs/index.php/rev_ff		27390373		fulltext		Universidad Central de Venezuela	serial								F	261134914
Revista ciencia multidisciplinaria CUNORI (En línea)	2617-474X	2617-4758	2017						http://www.revistasguatemala.usac.edu.gt/index.php/cm/index		26174758		fulltext		Universidad de San Carlos de Guatemala	serial								F	230854621
Postulados : revista sociojurídica		2981-6866	2024						https://revistas.ufps.edu.co/index.php/rsl/issue/view/266		29816866		fulltext		Universidad Francisco de Paula Santander, Seccional Ocaña	serial								F	279707614
Research journal of language and literary studies		2790-556X	2022						https://rjls.su.edu.pk/		2790556X		fulltext		University of Sargodha	serial								F	260675822
Review journal of political philosophy (Meerut) (Online)	0976-3635	2454-3411	2015						http://rjpp.anubooks.com/		24543411		fulltext		Journal Anu Books	serial								F	189203307
Nordiques (Paris. En ligne)	1761-7677	2777-8479	2020						https://journals.openedition.org/nordiques/		27778479		fulltext	ISSN of preceding title : 1761-7677	Association Norden	serial								F	250931249
Review of European and Russian affairs		1718-4835	2005						https://ojs.library.carleton.ca/index.php/rera/index		17184835		fulltext		Carleton University	serial								F	151738718
Revista de Studii Interdisciplinare (Online)	2457-5550	2587-4098	2021						https://uspee.md/revista-de-studii-interdisciplinare/		25874098		fulltext		USPEE Constantin Stere	serial								F	253913950
Peer reviewed journal of forensic & genetic sciences		2638-6062	2018						http://www.lupinepublishers.com/prjfgs/archive.php		26386062		fulltext		Lupine Publishers	serial								F	230139019
Revista de Etnologie şi Culturologie (Online)	1857-2049	2537-6152	2016						http://ethnology.asm.md/		25376152		fulltext		Inst. Patrimoniului Cultural	serial								F	293367582
Radiações (Coimbra)		2184-769X	2020						https://revista.atarp.pt/		2184769X		fulltext		Associação dos Técnicos de Radiologia Radioterapia e Medicina Nuclear	serial								F	249102412
Revista chilena de radiología (En línea. English ed.)		2938-1517	2021						https://www.resochradi.com/index.php??l=en		29381517		fulltext		Permanyer	serial								F	272949310
Revista de geomorfologie (Online)	1453-5068	2285-6773	2012						https://revistadegeomorfologie.ro/geo/index.php/revista		22856773		fulltext		Editura Universităţii din Bucureşti	serial								F	166198617
Research report (Centre for Corporate Governance Research. Online)	1891-0807	2387-3078	2007						https://biopen.bi.no/bi-xmlui/handle/11250/95385		23873078		fulltext		Centre for Corporate Governance Research, BI Norwegian Business School	serial								F	183045645
Revincluso		2764-4537	2021						https://periodicos.ufabc.edu.br/index.php/revincluso/index		27644537		fulltext		Editora da Universidade Federal do ABC - UFABC	serial								F	261661396
review of Keynesian studies (The )		2435-6581	2019						https://www.jstage.jst.go.jp/browse/revkeystud/list/-char/en		24356581		fulltext		The Keynes Society Japan = Keinzu gakkai	serial								F	264086465
Revista da Sociedade Brasileira de Ensino de Química		2676-0290	2020						http://sbenq.org.br/revista/index.php/rsbenq/index		26760290		fulltext		Sociedade Brasileira de Ensino de Química	serial								F	253914620
Reunión científica-tecnológica, forestal y agropecuaria Tabasco		3061-8363	2024						https://reunioncientificatabasco.com.mx/publicaciones		30618363		fulltext		Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias	serial								F	285770292
Rahyāft/hā-yi nuvīn dar ̒ulum-i sillūlī va mulikūli		3092-748X	2023						https://sanad.iau.ir/journal/nacms		3092748X		fulltext		Dānishgāh-i āzād-i Islāmī, vāḥid-i Shahr-i Kurd	serial								F	285776533
Revista administración pública y sociedad (En línea)		2524-9568	2016						https://revistas.unc.edu.ar/index.php/APyS/index		25249568		fulltext	ISSN of preceding title : 1667-6092	Instituto de Investigación y Formación en Administración Pública, Universidad Nacional de Córdoba	serial								F	197218431
Premier journal of social sciences (Online)	3007-3006	3007-3014	2022						https://plcg.edu.pk/PJSS/		30073014		fulltext		Premier Law College	serial								F	279698313
Revista de derecho (Concepción. En línea)	0303-9986	0718-591X	2008						http://www.revistadederecho.com		0718591X		fulltext		Facultad de Ciencias Jurídicas y Sociales, Universidad de Concepción	serial								F	133152022
Present Environment and Sustainable Development (Online)	1843-5971	2284-7820	2007						http://www.pesd.ro/		22847820		fulltext		Editura Universităţii Al.I. Cuza	serial								F	163395713
Revista de Ciência da Computação		2596-2701	2019						https://periodicos2.uesb.br/index.php/recic/index		25962701		fulltext		Universidade Estadual do Sudoeste da Bahia	serial								F	235964743
Prosiding The Annual Conference on Islamic Education and Social Science (Online)	2684-7183	2685-5119	2019						http://pkm.uika-bogor.ac.id/index.php/ACIEDSS		26855119		fulltext		Pascasarjana Universitas Ibn Khaldun Bogor	serial								F	240617231
Revue des droits et libertés fondamentaux		2258-1308	2011						http://www.revuedlf.com/		22581308		fulltext		Centre de recherches juridiques de Grenoble	serial								F	159893011
