Sourcerecord ID,Source Title,ISSN,EISSN,Active or Inactive,Coverage,Article Language in Source (Three-Letter ISO Language Codes),Source Type,Title History Indication,Related Title 1,Other Related Title 2,Other Related Title 3,Other Related Title 4,Added to List June 2026
19400157807,A. M. A. archives of industrial health,05673933,,Inactive,1954-1960,,Journal,Continued as,A. M. A. archives of industrial hygiene and occupational medicine,Archives of Environmental Health,,,
19600162082,A. M. A. archives of industrial hygiene and occupational medicine,00966703,,Inactive,1950-1954,,Journal,Continued as,Archives of industrial hygiene and occupational medicine,A. M. A. archives of industrial health,,,
19400157809,A. M. A. archives of neurology and psychiatry,00966886,,Inactive,1958; 1955-1956; 1950-1953,,Journal,Continued as,Archives of Neurology and Psychiatry,A.M.A. Archives of Neurology,,,
19400157812,A. M. A. archives of pathology,00966711,,Inactive,1949-1960,,Journal,Continued as,Archives of pathology,,,,
19400157813,A.M.A Archives of Surgery,00966908,23763566,Inactive,1950-1960,ENG,Journal,Continued as,"Archives of surgery (Chicago, Ill. : 1920)",Archives of Surgery,,,
19600162043,A.M.A. American Journal of Diseases of Children,00968994,23742976,Inactive,1945-1955,ENG,Journal,Continued as,American Journal of Diseases of Children,,,,
19400157808,A.M.A. archives of internal medicine,08882479,,Inactive,1951-1960,,Journal,Continued as,"Archives of internal medicine (Chicago, Ill. : 1908)",Archives of Internal Medicine,,,
19400158171,A.M.A. Archives of Neurology,03758540,23309644,Inactive,1959-1960,ENG,Journal,Continued as,A. M. A. archives of neurology and psychiatry,Archives of Neurology,,,
19400157810,A.M.A. Archives of Ophthalmology,00966339,2374765X,Inactive,1950-1960,ENG,Journal,Continued as,Archives of Ophthalmology,,,,
19400157811,A.M.A. Archives of Otolaryngology,00966894,23756802,Inactive,1950-1960,ENG,Journal,Continued as,Archives of Otolaryngology,,,,
21100456161,a/b: Auto/Biography Studies,08989575,21517290,Active,2015-2026; 2010-2011; 2005-2007; 2001-2003; 1996-1997; 1990-1992; 1985-1986,ENG,Journal,,,,,,
11600153683,A/Z ITU Journal of the Faculty of Architecture,25647474,25647571,Active,2011-2026,ENG,Journal,,,,,,
21100780699,A+BE Architecture and the Built Environment,22123202,22147233,Active,2021-2024; 2016-2018,ENG,Book Series,,,,,,
5800207606,AAA - Arbeiten aus Anglistik und Amerikanistik,01715410,,Active,2002-2026,GER,Journal,,,,,,
28033,AAC: Augmentative and Alternative Communication,07434618,14773848,Active,1985-2026,ENG,Journal,,,,,,
21101074855,AACE Clinical Case Reports,,23760605,Inactive,2015-2025,ENG,Journal,Continued as,AACE Endocrinology and Diabetes,,,,
21101304521,AACE Endocrinology and Diabetes,,30509157,Active,2025-2026,ENG,Journal,Formerly known as,AACE Clinical Case Reports,,,,
19300156808,AACL Bioflux,18448143,18449166,Active,2009-2026; 2006,ENG,Journal,,,,,,
4700152443,AACN Advanced Critical Care,15597768,15597776,Active,2006-2026,ENG,Journal,Formerly known as,AACN Clinical Issues,,,,
26408,AACN Clinical Issues,10790713,15389812,Inactive,1995-2005,ENG,Journal,Continued as,AACN clinical issues in critical care nursing,AACN Advanced Critical Care,,,
51879,AACN clinical issues in critical care nursing,10467467,,Inactive,1990-1994,,Journal,Continued as,AACN Clinical Issues,,,,
66438,AANNT journal / the American Association of Nephrology Nurses and Technicians,07441479,,Inactive,1982-1984,,Journal,Continued as,The Journal of the American Association of Nephrology Nurses & Technicians,ANNA journal / American Nephrology Nurses' Association,,,
5100155055,AAO Journal,23755776,23755717,Active,2006-2026,ENG,Journal,,,,,,
27096,AAOHN Journal,08910162,19382448,Inactive,1986-2011,ENG,Journal,Continued as,Occupational Health Nursing,Workplace Health and Safety,,,
30787,AAPG Bulletin,01491423,,Active,1967-2026; 1950; 1943,ENG,Journal,,,,,,
24508,AAPG Memoir,02718529,,Inactive,2009-2019; 2004-2006; 2000-2001; 1996-1998; 1994,ENG,Book Series,,,,,,
21100199540,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",03650359,18251242,Active,2004-2026,ENG; ITA,Journal,,,,,,
18199,AAPPO journal : the journal of the American Association of Preferred Provider Organizations,10545913,,Inactive,1991-1994,,Journal,Continued as,Health care innovations : the journal of the American Association of Preferred Provider Organizations,,,,
21101165632,AAPPS Bulletin,02182203,23094710,Active,2021-2026,ENG,Journal,,,,,,
21100853564,AAPS Advances in the Pharmaceutical Sciences Series,22107371,2210738X,Active,2013-2026; 2011,ENG,Book Series,,,,,,
4000148019,AAPS Journal,,15507416,Active,1999-2026,ENG,Journal,Formerly known as,AAPS PharmSci,,,,
11000153741,AAPS PharmSci,,15221059,Inactive,1999-2004,ENG,Journal,Continued as,AAPS Journal,,,,
19374,AAPS PharmSciTech,,15309932,Active,2000-2026,ENG,Journal,,,,,,
27078,Aardkundige Mededelingen,02507803,,Inactive,2000-2004; 1996-1997; 1994,ENG,Book Series,,,,,,
70264,AARN news letter,00010197,,Inactive,1969-1998,,Journal,Continued as,Alberta RN / Alberta Association of Registered Nurses,,,,
29933,AAS History Series,07303564,,Inactive,2005; 2003; 2001; 1997-1998,ENG,Journal,,,,,,
21101061448,AAS Open Research,,25159321,Active,2018-2024,ENG,Journal,,,,,,
21100776059,AATCC Journal of Research,24723444,23305517,Active,2014-2026,ENG,Journal,,,,,,
15286,AATCC Review,15328813,23305525,Inactive,2001-2020,ENG,Trade Journal,Formerly known as,Textile Chemist and Colorist and American Dyestuff Reporter,,,,
83765,AB bookman's weekly : for the specialist book world,00010340,,Inactive,1997-1999; 1992-1995; 1986-1990; 1968,,Journal,,,,,,
21100316466,Ab Imperio,21664072,21649731,Active,2013-2025,ENG; RUS,Journal,,,,,,
13208,ABA Bank Marketing,15397890,,Inactive,2002-2010,ENG,Journal,,,,,,
29842,ABA Journal,07470088,,Inactive,2016-2020; 2002-2014; 1996-1999; 1993; 1984-1987,ENG,Journal,,,,,,
21100870382,ABAC Journal,08580855,,Active,2018-2026,ENG,Journal,,,,,,
100147335,Abacus,00013072,14676281,Active,1965-2026,ENG,Journal,,,,,,
18665,ABB Review,10133119,,Inactive,1989-2018,ENG,Journal,Formerly known as,Brown Boveri Review,ASEA Journal (Allmaenna Svenska Elektriska Aktiebolaget),,,
12021,Abbey Newsletter,02768291,,Inactive,1999-2004; 1996-1997,ENG,Trade Journal,,,,,,
27818,Abdominal Imaging,09428925,14320509,Inactive,1993-2015; 1986; 1981; 1978-1979,ENG,Journal,Continued as,Gastrointestinal Radiology,Urologic Radiology,Abdominal Radiology,,
21100454916,Abdominal Radiology,2366004X,23660058,Active,2016-2026,ENG,Journal,Formerly known as,Abdominal Imaging,,,,
76291,Aberdeen's Concrete Construction,10515526,,Inactive,1990-1999,ENG,Journal,Continued as,Concrete Construction - World of Concrete,,,,
21101149770,Abgadiyat,16878280,22138609,Active,2006-2026,ENG,Journal,,,,,,
27488,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,00255858,18658784,Active,2008-2026; 1957-2006; 1954-1955; 1951-1952; 1949; 1943; 1941; 1939; 1937; 1933-1935; 1931; 1927-1929; 1922-1925,GER,Journal,,,,,,
21100307500,Abhandlungen der Senckenberg Gesellschaft fur Naturforschung,18680356,,Inactive,2011-2012; 2009,ENG,Book Series,,,,,,
13678,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,03657000,,Inactive,1998-2006,ENG,Book Series,,,,,,
26472,Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften,0174870X,,Inactive,2002-2003; 1994-1997; 1990,,Journal,,,,,,
21101075891,aBIOTECH,20966326,26621738,Active,2020-2026,ENG,Journal,,,,,,
19900192010,Aboriginal History Journal,03148769,18379389,Active,2019-2025; 2001,ENG,Journal,,,,,,
54911,Abrasive Eng,00013277,,Inactive,1973-1974; 1969-1971,,Journal,Incorporated into,Machine and Tool Blue Book,,,,
92651,Abrasives,00965995,,Inactive,1994-2002,ENG,Journal,,,,,,
21101438403,Abrechnung Erfolgreich und Optimal,26283190,26283204,Active,2020-2026,ENG; GER,Book Series,,,,,,
21100944128,Abriu,20148526,20148534,Active,2019-2025,SPA,Journal,,,,,,
24087,Abstract and Applied Analysis,10853375,16870409,Active,2002-2026; 2000; 1996,ENG,Journal,,,,,,
92766,Abstracta Botanica,01336215,,Inactive,1984-1998,ENG,Journal,Continued as,Community Ecology,,,,
22394,ABU Technical Review,01266209,,Inactive,2001-2019; 1995-1999,ENG,Journal,,,,,,
96315,ABWASSERTECH. ABFALLTECH.,03424022,,Inactive,1979-1988,,Journal,Continued as,ABWASSERTECHNIK,AWT Abwassertechnik,,,
94568,ABWASSERTECHNIK,00013706,,Inactive,1985; 1979,,Journal,Continued as,ABWASSERTECH. ABFALLTECH.,,,,
16376,Academe,01902946,,Active,1996-2025,ENG,Journal,,,,,,
21100838570,Academia (Greece),,22411402,Active,2017-2026,ENG,Journal,,,,,,
21101392034,Academia Biology,,28374010,Active,2023-2026,ENG,Journal,,,,,,
21100897510,Academia Economic Papers,1018161X,18104851,Active,2018-2026,CHI; ENG,Journal,,,,,,
20396,Academia Peruana de Cirugia,00013854,,Inactive,1963-1965,,Journal,Formerly known as,Boletín. Academia Peruana de Cirugía,,,,
19700173246,Academia Revista Latinoamericana de Administracion,10128255,20565127,Active,2008-2026,SPA,Journal,,,,,,
15185,Academic Emergency Medicine,10696563,15532712,Active,1994-2026,ENG,Journal,,,,,,
21100925779,Academic Forensic Pathology,,19253621,Active,2011-2026,ENG,Journal,,,,,,
19700182619,Academic Journal of Cancer Research,19958943,,Inactive,2010-2013,ENG,Journal,,,,,,
21100897507,Academic Journal of Interdisciplinary Studies,22813993,22814612,Inactive,2018-2024; 2013,ENG,Journal,,,,,,
19900192427,Academic Journal of Manufacturing Engineering,15837904,,Active,2013-2026; 2010-2011,ENG,Journal,,,,,,
21101287733,Academic Journal of Modern Philology,22997164,23533218,Active,2024-2025,DUT; ENG; FRE; GER; POL; POR; SPA,Journal,,,,,,
21101152119,Academic Journal of Naval Medical University,20971338,,Active,2022-2026,CHI,Journal,Formerly known as,Academic Journal of Second Military Medical University,,,,
3200147815,Academic Journal of Second Military Medical University,0258879X,,Inactive,2006-2022,CHI,Journal,Continued as,Academic Journal of Naval Medical University,,,,
18353,Academic Journal of Xi'an Jiaotong University,16718267,,Inactive,2003-2010,ENG,Journal,,,,,,
28997,Academic Leadership,15337812,,Inactive,2005-2012; 2000-2003,ENG,Journal,,,,,,
26493,Academic Medicine,10402446,1938808X,Active,1964-2026; 1961; 1959; 1953-1956; 1945; 1940-1941; 1937; 1927-1928,ENG,Journal,Formerly known as,Journal of Medical Education,,,,
27064,Academic Nurse,10620249,,Inactive,2006-2009; 1992; 1990,ENG,Journal,,,,,,
21100869489,Academic Pathology,,23742895,Active,2014-2026,ENG,Journal,,,,,,
16800154743,Academic Pediatrics,18762859,18762867,Active,2009-2026,ENG,Journal,Formerly known as,Ambulatory Pediatrics,,,,
17539,Academic Psychiatry,10429670,15457230,Active,1989-2026; 1980-1985; 1977,ENG,Journal,Formerly known as,Journal of Psychiatric Education,,,,
21101005539,Academic Quarter,,19040008,Active,2020-2025,DAN,Journal,,,,,,
5600153996,Academic Questions,08954852,19364709,Active,1988-2025,ENG,Journal,,,,,,
20031,Academic Radiology,10766332,18784046,Active,1994-2026,ENG,Journal,,,,,,
21100889435,Academica Turistica,18553303,23354194,Active,2018-2025,ENG,Journal,,,,,,
77182,"Academie des Sciences. Comptes Rendus. Serie 4: Physique, Astrophysique",12962147,,Inactive,2000-2001,ENG,Journal,Continued as,"Comptes Rendus de l'Academie de Sciences - Serie IIb: Mecanique, Physique, Chimie, Astronomie",Comptes Rendus Physique,,,
19300157018,Academy of Accounting and Financial Studies Journal,10963685,15282635,Inactive,2009-2021,ENG,Journal,,,,,,
19700175173,Academy of Banking Studies Journal,19392230,19392249,Inactive,2009-2012,ENG,Journal,,,,,,
19700175174,Academy of Entrepreneurship Journal,10879595,15282686,Inactive,2009-2021,ENG,Journal,,,,,,
19900191906,Academy of Management Annals,19416520,19416067,Active,2010-2026; 2007-2008,ENG,Journal,,,,,,
21101146363,Academy of Management Discoveries,,21681007,Active,2019-2025,ENG,Journal,,,,,,
20189,Academy of Management Executive,10795545,21672725,Inactive,1996-2005,ENG,Journal,Continued as,Academy of Management Perspectives,,,,
20191,Academy of Management Journal,00014273,,Active,1975-2026; 1973; 1970-1971; 1966-1968; 1961,ENG,Journal,,,,,,
5200152701,Academy of Management Learning and Education,1537260X,,Active,2005-2026; 2003,ENG,Journal,,,,,,
4700152287,Academy of Management Perspectives,15589080,,Active,2006-2026; 1987-1994,ENG,Journal,Formerly known as,Academy of Management Executive,,,,
20206,Academy of Management Review,03637425,,Active,1993-2026; 1976-1991,ENG,Journal,,,,,,
19700175175,Academy of Marketing Studies Journal,10956298,15282678,Inactive,2008-2016,ENG,Journal,,,,,,
19700175176,Academy of Strategic Management Journal,15441458,19396104,Inactive,2009-2021,ENG,Journal,,,,,,
23668,Acadiensis,00445851,17127432,Active,2009-2025; 2000; 1989-1990; 1984; 1981,ENG; FRE,Journal,,,,,,
19700173205,Acarina,01328077,22215115,Active,2009-2026,ENG; RUS,Journal,,,,,,
24078,Acarologia,0044586X,21077207,Active,2010-2026; 1994-2008; 1987; 1965-1985,ENG,Journal,,,,,,
4500151410,ACC Cardiosource Review Journal,15568571,,Inactive,2006-2008,ENG,Journal,Formerly known as,ACC Current Journal Review,,,,
21512,ACC Current Journal Review,10621458,,Inactive,1995-2005,ENG,Journal,Continued as,ACC Cardiosource Review Journal,,,,
21101125145,Access Microbiology,,25168290,Active,2019-2026,ENG,Journal,,,,,,
21101043803,Access to Justice in Eastern Europe,26630575,26630583,Active,2018-2026,ENG,Journal,,,,,,
19532,Accident Analysis and Prevention,00014575,18792057,Active,1969-2026,ENG,Journal,,,,,,
27065,Accident and Emergency Nursing,09652302,,Inactive,1993-2007,ENG,Journal,Continued as,International Emergency Nursing,,,,
18735,Accountability in Research,08989621,15455815,Active,1989-2026,ENG,Journal,,,,,,
21100943519,Accounting,23697393,23697407,Inactive,2018-2021,ENG,Journal,,,,,,
28034,Accounting and Business Research,00014788,21594260,Active,1970-2026,ENG,Journal,,,,,,
200147123,Accounting and Finance,08105391,1467629X,Active,1979-2026,,Journal,,,,,,
21101329152,Accounting and Financial Control,25435485,25441450,Active,2024-2026,ENG,Journal,,,,,,
19900193215,Accounting and the Public Interest,,15309320,Active,2009-2025; 2005; 2003,ENG,Journal,,,,,,
19700188267,Accounting Education,09639284,14684489,Active,2000-2026; 1998; 1992-1996,ENG,Journal,,,,,,
145078,Accounting Forum,01559982,14676303,Active,2004-2026,ENG,Journal,,,,,,
21100388306,Accounting Historians Journal,01484184,23274468,Active,1974-2026,ENG,Journal,,,,,,
11400153311,Accounting History,10323732,17493374,Active,1996-2026,ENG,Journal,,,,,,
19900192338,Accounting History Review,21552851,2155286X,Active,2011-2026,ENG,Journal,Formerly known as,"Accounting, Business and Financial History",,,,
5000158708,Accounting Horizons,08887993,15587975,Active,1996-2026,ENG,Journal,,,,,,
19900191863,Accounting in Europe,17449480,17449499,Active,2010-2026; 2008; 2006,ENG,Journal,,,,,,
14000156207,Accounting Perspectives,1911382X,19113838,Active,2007-2026,ENG,Journal,Formerly known as,Canadian Accounting Perspectives,,,,
19600162139,Accounting Research Journal,10309616,18395465,Active,2005-2026,ENG,Journal,,,,,,
28096,Accounting Review,00014826,15587967,Active,1996-2026,ENG,Journal,,,,,,
130105,"Accounting, Auditing and Accountability Journal",09513574,20513151,Active,1988-2026,ENG,Journal,,,,,,
18215,"Accounting, Business and Financial History",09585206,14664275,Inactive,2003-2010; 1990-1995,ENG,Journal,Continued as,Accounting History Review,,,,
21100843497,"Accounting, Economics and Law: A Convivium",,21522820,Active,2011-2026,ENG,Journal,,,,,,
21101420838,"Accounting, Finance and Governance Review",20098766,27377482,Active,2022-2026; 2001; 1998,ENG,Journal,,,,,,
21101021168,"Accounting, Finance, Sustainability, Governance and Fraud",25097873,25097881,Active,2017-2026,ENG,Book Series,,,,,,
9700153235,"Accounting, Management and Information Technologies",09598022,18737595,Inactive,1991-2000,ENG,Journal,Continued as,Information and Organization,,,,
28094,"Accounting, Organizations and Society",03613682,,Active,1976-2026,ENG,Journal,,,,,,
22657,Accounts of Chemical Research,00014842,15204898,Active,1968-2026,ENG,Journal,,,,,,
21101080487,Accounts of Materials Research,,26436728,Active,2020-2026,ENG,Journal,,,,,,
23415,Accreditation and Quality Assurance,09491775,14320517,Active,1996-2026,ENG,Journal,,,,,,
21100235613,ACDI Anuario Colombiano de Derecho Internacional,20271131,21454493,Active,2012-2026,ENG; FRE; SPA,Journal,,,,,,
21101196739,Acervo,0102700X,22378723,Active,2019-2026,ENG; POR; SPA,Journal,,,,,,
21100788267,ACG Case Reports Journal,,23263253,Active,2013-2026,ENG,Journal,,,,,,
5000153201,ACH - Models in Chemistry,12178969,,Inactive,1996-2000,ENG,Journal,Formerly known as,Acta Chimica Hungarica,,,,
25159,ACI Materials Journal,0889325X,,Active,1987-2026,ENG,Journal,Formerly part of,Journal of the American Concrete Institute,,,,
25161,ACI Structural Journal,08893241,,Active,1987-2026,ENG,Journal,Formerly part of,Journal of the American Concrete Institute,,,,
5100155014,ACIMED,10249435,15612880,Inactive,1996-2012,SPA,Journal,Continued as,Revista Cubana de Informacion en Ciencias de la Salud,,,,
21100198457,ACM Communications in Computer Algebra,19322232,19322240,Active,2011-2025,ENG,Journal,,,,,,
23038,ACM Computing Surveys,03600300,15577341,Active,1969-2026,ENG,Journal,Formerly known as,Computing Surveys,,,,
19700201136,ACM Inroads,21532184,21532192,Active,2010-2026,ENG,Trade Journal,,,,,,
12100155656,ACM Journal of Experimental Algorithmics,10846654,,Inactive,1996-2023,ENG,Journal,,,,,,
145466,ACM Journal on Educational Resources in Computing,15314278,,Inactive,2001-2009,ENG,Journal,,,,,,
4700152798,ACM Journal on Emerging Technologies in Computing Systems,15504832,15504840,Active,2005-2026,ENG,Journal,,,,,,
21100900336,ACM SIGBED Review,,15513688,Inactive,2017-2020; 2011; 2007-2009,ENG,Journal,,,,,,
19700185000,ACM SIGPLAN Notices,15232867,15581160,Inactive,2006-2018; 1994,ENG,Journal,Formerly known as,SIGPLAN Notices (ACM Special Interest Group on Programming Languages),,,,
19700186855,ACM Transactions on Accessible Computing,19367228,,Active,2008-2026,ENG,Journal,,,,,,
4700153006,ACM Transactions on Algorithms,15496325,15496333,Active,2005-2026,ENG,Journal,,,,,,
12100154833,ACM Transactions on Applied Perception,15443558,15443965,Active,2004-2026,ENG,Journal,,,,,,
12100154406,ACM Transactions on Architecture and Code Optimization,15443566,15443973,Active,2004-2026,ENG,Journal,,,,,,
21100784666,ACM Transactions on Asian and Low-Resource Language Information Processing,23754699,23754702,Active,2015-2026,ENG,Journal,,,,,,
26798,ACM Transactions on Asian Language Information Processing,15300226,15583430,Inactive,2002-2014,ENG,Journal,,,,,,
4800153205,ACM Transactions on Autonomous and Adaptive Systems,15564665,15564703,Active,2006-2026,ENG,Journal,,,,,,
19700166602,ACM Transactions on Computation Theory,19423454,19423462,Active,2009-2026,ENG,Journal,,,,,,
23051,ACM Transactions on Computational Logic,15293785,1557945X,Active,2000-2026,ENG,Journal,,,,,,
12213,ACM Transactions on Computer Systems,07342071,15577333,Active,1983-2026,ENG,Journal,,,,,,
26199,ACM Transactions on Computer-Human Interaction,10730516,15577325,Active,1994-2026,ENG,Journal,,,,,,
19700183047,ACM Transactions on Computing Education,,19466226,Active,2010-2026,ENG,Journal,,,,,,
21101079108,ACM Transactions on Computing for Healthcare,26911957,26378051,Active,2020-2026,ENG,Journal,,,,,,
21100935201,ACM Transactions on Cyber-Physical Systems,2378962X,23789638,Active,2017-2026,ENG,Journal,,,,,,
13044,ACM Transactions on Database Systems,03625915,15574644,Active,1976-2026,ENG,Journal,,,,,,
18662,ACM Transactions on Design Automation of Electronic Systems,10844309,15577309,Active,1996-2026,ENG,Journal,,,,,,
21100853526,ACM Transactions on Economics and Computation,21678375,21678383,Active,2013-2026,ENG,Journal,,,,,,
10300153313,ACM Transactions on Embedded Computing Systems,15399087,15583465,Active,2002-2026,ENG,Journal,,,,,,
21101182803,ACM Transactions on Evolutionary Learning and Optimization,2688299X,26883007,Active,2021-2026,ENG,Journal,,,,,,
24972,ACM Transactions on Graphics,07300301,15577368,Active,1982-2026,ENG,Journal,,,,,,
21100979314,ACM Transactions on Human-Robot Interaction,,25739522,Active,2018-2026,ENG,Journal,,,,,,
28875,ACM Transactions on Information and System Security,10949224,15577406,Inactive,1999-2016,ENG,Journal,,,,,,
18997,ACM Transactions on Information Systems,10468188,15582868,Active,1983-2026,ENG,Journal,Formerly known as,ACM Transactions on Office Information Systems,,,,
19700190323,ACM Transactions on Intelligent Systems and Technology,21576904,21576912,Active,2010-2026,ENG,Journal,,,,,,
21100301601,ACM Transactions on Interactive Intelligent Systems,21606455,21606463,Active,2011-2026,ENG,Journal,,,,,,
21101083126,ACM Transactions on Internet of Things,25776207,,Active,2020-2026,ENG,Journal,,,,,,
15773,ACM Transactions on Internet Technology,15335399,15576051,Active,2001-2026,ENG,Journal,,,,,,
5800173377,ACM Transactions on Knowledge Discovery from Data,15564681,1556472X,Active,2007-2026,ENG,Journal,,,,,,
21100200804,ACM Transactions on Management Information Systems,2158656X,21586578,Active,2010-2026,ENG,Journal,,,,,,
18120,ACM Transactions on Mathematical Software,00983500,15577295,Active,1975-2026,ENG,Journal,,,,,,
23054,ACM Transactions on Modeling and Computer Simulation,10493301,15581195,Active,1991-2026,ENG,Journal,,,,,,
21100934924,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,23763639,23763647,Active,2016-2025,ENG,Journal,,,,,,
4700151918,"ACM Transactions on Multimedia Computing, Communications and Applications",15516857,15516865,Active,2005-2026,ENG,Journal,,,,,,
35263,ACM Transactions on Office Information Systems,07342047,,Inactive,1986-1988,,Journal,Continued as,ACM Transactions on Information Systems,,,,
21100881468,ACM Transactions on Parallel Computing,23294949,23294957,Active,2014-2026,ENG,Journal,,,,,,
21100832567,ACM Transactions on Privacy and Security,24712566,24712574,Active,2016-2026,ENG,Journal,,,,,,
27836,ACM Transactions on Programming Languages and Systems,01640925,15584593,Active,1979-2026,ENG,Journal,,,,,,
21101186345,ACM Transactions on Quantum Computing,,26436817,Active,2020-2026,ENG,Journal,,,,,,
21100217640,ACM Transactions on Reconfigurable Technology and Systems,19367406,19367414,Active,2008-2026,ENG,Journal,,,,,,
4700152843,ACM Transactions on Sensor Networks,15504859,15504867,Active,2005-2026,ENG,Journal,,,,,,
18121,ACM Transactions on Software Engineering and Methodology,1049331X,15577392,Active,1992-2026,ENG,Journal,,,,,,
21100857591,ACM Transactions on Spatial Algorithms and Systems,23740353,23740361,Active,2015-2026,ENG,Journal,,,,,,
4700152720,ACM Transactions on Speech and Language Processing,15504875,15504883,Inactive,2004-2013,ENG,Journal,,,,,,
4700152858,ACM Transactions on Storage,15533077,15533093,Active,2005-2026,ENG,Journal,,,,,,
5800207369,ACM Transactions on the Web,15591131,1559114X,Active,2007-2026,ENG,Journal,,,,,,
14979,ACME,,14929732,Active,2006-2026; 2002-2004,ENG,Journal,,,,,,
21513,ACOG Clinical Review,10856862,,Inactive,1996-2008,ENG,Journal,Formerly known as,ACOG Current Journal Review,,,,
67637,ACOG committee opinion,1074861X,,Inactive,1993-1998; 1991; 1988-1989; 1985,,Journal,,,,,,
14400154708,ACOG Current Journal Review,08971471,,Inactive,1995,,Journal,Continued as,ACOG Clinical Review,,,,
5200152618,ACORN,14487535,,Inactive,2006-2018,ENG,Journal,,,,,,
21100932834,Acotaciones,11307269,24443948,Active,2019-2025,SPA,Journal,,,,,,
12940,Acoustic Research Letters Online,15297853,,Inactive,2000-2005,ENG,Journal,,,,,,
12922,Acoustical Physics,10637710,15626865,Active,1996-2025,ENG,Journal,Formerly known as,Soviet Physics Acoustics,,,,
12935,Acoustical Science and Technology,13463969,13475177,Active,2000-2026,ENG,Journal,Formerly known as,Journal of the Acoustical Society of Japan (E) (English translation of Nippon Onkyo Gakkaishi),,,,
21101087776,Acoustics,,2624599X,Active,2019-2026,ENG,Journal,,,,,,
60455,Acoustics Australia,08146039,18392571,Active,1996-2026; 1986-1991,ENG,Journal,,,,,,
12938,Acoustics Bulletin,0308437X,,Active,1995-2025; 1986; 1984; 1982; 1979,ENG,Journal,,,,,,
12939,Acoustics Letters,01401599,,Inactive,1995-2001,ENG,Journal,,,,,,
21514,ACP Journal Club,10568751,15398560,Inactive,1991-2008,,Journal,,,,,,
21101055126,Acque Sotterranee - Italian Journal of Groundwater,1828454X,22806458,Active,2012-2026,ENG; ITA,Journal,,,,,,
